iter	Passed	Remaining
0	6	6976
1	11	5493
2	16	5520
3	28	7084
4	42	8540
5	59	9924
6	76	10840
7	96	11935
8	110	12165
9	124	12366
10	144	12964
11	158	13014
12	174	13232
13	192	13545
14	208	13671
15	227	14005
16	244	14126
17	269	14683
18	293	15131
19	318	15608
20	334	15585
21	347	15460
22	362	15384
23	377	15343
24	391	15281
25	404	15161
26	416	15025
27	430	14942
28	443	14834
29	458	14818
30	470	14716
31	481	14571
32	493	14467
33	506	14379
34	519	14316
35	532	14259
36	546	14214
37	560	14201
38	575	14169
39	587	14093
40	599	14017
41	609	13908
42	624	13905
43	639	13887
44	651	13824
45	663	13769
46	675	13687
47	691	13705
48	707	13729
49	720	13698
50	733	13654
51	747	13625
52	758	13556
53	768	13460
54	780	13402
55	793	13375
56	807	13356
57	819	13315
58	831	13259
59	840	13170
60	851	13104
61	861	13040
62	872	12982
63	885	12947
64	896	12902
65	907	12844
66	918	12786
67	930	12749
68	942	12716
69	956	12707
70	967	12660
71	980	12639
72	992	12602
73	1005	12583
74	1017	12551
75	1030	12528
76	1046	12546
77	1058	12515
78	1072	12505
79	1086	12497
80	1099	12475
81	1112	12457
82	1124	12423
83	1138	12417
84	1160	12491
85	1180	12544
86	1191	12499
87	1205	12491
88	1218	12473
89	1236	12498
90	1256	12554
91	1274	12582
92	1293	12616
93	1310	12633
94	1326	12640
95	1339	12614
96	1352	12588
97	1362	12542
98	1372	12492
99	1383	12447
100	1401	12474
101	1418	12486
102	1435	12498
103	1449	12484
104	1464	12484
105	1480	12490
106	1495	12483
107	1506	12444
108	1520	12425
109	1533	12406
110	1545	12378
111	1557	12348
112	1567	12304
113	1578	12265
114	1589	12228
115	1600	12195
116	1611	12162
117	1622	12128
118	1633	12091
119	1648	12091
120	1661	12069
121	1674	12047
122	1684	12013
123	1695	11978
124	1706	11945
125	1717	11915
126	1729	11889
127	1742	11872
128	1755	11855
129	1767	11827
130	1776	11787
131	1786	11745
132	1795	11707
133	1805	11670
134	1817	11643
135	1828	11614
136	1841	11598
137	1853	11574
138	1863	11541
139	1873	11510
140	1883	11477
141	1894	11444
142	1906	11425
143	1916	11392
144	1926	11360
145	1936	11324
146	1944	11286
147	1953	11246
148	1962	11211
149	1973	11180
150	1987	11173
151	1999	11154
152	2011	11137
153	2026	11131
154	2037	11105
155	2049	11086
156	2060	11064
157	2070	11035
158	2080	11004
159	2090	10977
160	2101	10951
161	2111	10923
162	2121	10892
163	2131	10863
164	2141	10835
165	2150	10801
166	2159	10770
167	2168	10738
168	2177	10708
169	2186	10672
170	2196	10648
171	2207	10628
172	2216	10597
173	2226	10568
174	2237	10550
175	2248	10528
176	2258	10501
177	2268	10477
178	2278	10448
179	2287	10420
180	2296	10391
181	2306	10365
182	2314	10334
183	2323	10302
184	2331	10271
185	2340	10240
186	2348	10208
187	2355	10174
188	2364	10147
189	2375	10125
190	2383	10097
191	2392	10066
192	2400	10036
193	2408	10007
194	2417	9980
195	2425	9951
196	2433	9920
197	2442	9891
198	2450	9864
199	2459	9837
200	2468	9813
201	2477	9785
202	2484	9756
203	2493	9729
204	2502	9704
205	2510	9674
206	2517	9646
207	2527	9624
208	2536	9598
209	2544	9572
210	2552	9545
211	2560	9517
212	2568	9490
213	2577	9465
214	2584	9437
215	2592	9409
216	2600	9383
217	2609	9360
218	2617	9333
219	2624	9306
220	2632	9280
221	2642	9260
222	2649	9231
223	2656	9202
224	2663	9175
225	2670	9146
226	2677	9119
227	2685	9093
228	2693	9066
229	2700	9040
230	2708	9014
231	2715	8988
232	2722	8961
233	2729	8934
234	2737	8910
235	2745	8886
236	2751	8858
237	2759	8834
238	2766	8809
239	2773	8782
240	2781	8758
241	2790	8738
242	2796	8713
243	2804	8687
244	2811	8664
245	2818	8639
246	2827	8618
247	2835	8598
248	2843	8576
249	2853	8559
250	2860	8535
251	2868	8513
252	2875	8491
253	2883	8469
254	2891	8446
255	2898	8425
256	2906	8403
257	2914	8382
258	2922	8360
259	2930	8340
260	2937	8318
261	2945	8295
262	2952	8274
263	2960	8253
264	2968	8234
265	2975	8211
266	2983	8190
267	2989	8166
268	2997	8144
269	3004	8123
270	3011	8100
271	3019	8081
272	3027	8063
273	3035	8042
274	3042	8022
275	3050	8001
276	3057	7981
277	3065	7960
278	3072	7939
279	3080	7921
280	3087	7900
281	3095	7881
282	3104	7864
283	3111	7845
284	3119	7825
285	3127	7807
286	3135	7790
287	3143	7770
288	3150	7751
289	3159	7734
290	3167	7717
291	3175	7698
292	3182	7678
293	3190	7660
294	3199	7646
295	3207	7629
296	3215	7611
297	3224	7594
298	3235	7586
299	3245	7572
300	3255	7559
301	3266	7548
302	3281	7549
303	3291	7534
304	3302	7525
305	3311	7511
306	3323	7502
307	3333	7489
308	3344	7478
309	3354	7465
310	3365	7455
311	3375	7442
312	3385	7430
313	3398	7423
314	3408	7412
315	3418	7399
316	3427	7385
317	3436	7370
318	3446	7358
319	3460	7352
320	3475	7350
321	3486	7340
322	3497	7330
323	3514	7331
324	3525	7323
325	3536	7311
326	3550	7306
327	3561	7295
328	3575	7291
329	3587	7282
330	3598	7273
331	3616	7275
332	3627	7265
333	3637	7253
334	3646	7239
335	3659	7232
336	3671	7223
337	3685	7217
338	3699	7214
339	3709	7201
340	3720	7189
341	3730	7177
342	3740	7165
343	3751	7153
344	3761	7141
345	3772	7130
346	3782	7118
347	3794	7108
348	3807	7102
349	3817	7090
350	3826	7075
351	3837	7063
352	3845	7049
353	3854	7034
354	3863	7020
355	3872	7005
356	3880	6988
357	3888	6972
358	3899	6961
359	3908	6948
360	3916	6933
361	3924	6916
362	3931	6898
363	3939	6883
364	3948	6868
365	3955	6851
366	3962	6834
367	3970	6819
368	3977	6802
369	3987	6789
370	3995	6773
371	4002	6757
372	4011	6742
373	4017	6724
374	4026	6710
375	4033	6693
376	4040	6676
377	4047	6660
378	4055	6644
379	4061	6626
380	4069	6611
381	4078	6597
382	4086	6582
383	4093	6567
384	4101	6552
385	4112	6541
386	4120	6526
387	4129	6514
388	4137	6498
389	4144	6482
390	4153	6469
391	4160	6453
392	4167	6437
393	4175	6422
394	4183	6407
395	4190	6391
396	4197	6375
397	4206	6362
398	4213	6347
399	4221	6332
400	4229	6317
401	4237	6302
402	4244	6287
403	4250	6271
404	4257	6255
405	4264	6239
406	4272	6224
407	4282	6213
408	4291	6200
409	4299	6187
410	4308	6174
411	4316	6160
412	4325	6147
413	4334	6135
414	4343	6122
415	4351	6109
416	4363	6100
417	4371	6087
418	4379	6073
419	4388	6059
420	4396	6045
421	4404	6032
422	4411	6017
423	4420	6005
424	4428	5991
425	4436	5977
426	4445	5965
427	4453	5952
428	4462	5939
429	4470	5926
430	4478	5913
431	4487	5900
432	4495	5887
433	4505	5875
434	4512	5861
435	4520	5847
436	4528	5833
437	4537	5821
438	4545	5809
439	4554	5796
440	4561	5782
441	4570	5769
442	4579	5757
443	4588	5746
444	4604	5742
445	4615	5732
446	4624	5721
447	4633	5709
448	4642	5696
449	4652	5686
450	4661	5674
451	4671	5663
452	4681	5653
453	4691	5642
454	4701	5631
455	4716	5627
456	4725	5614
457	4735	5604
458	4745	5593
459	4755	5582
460	4766	5572
461	4776	5562
462	4785	5550
463	4796	5541
464	4808	5532
465	4818	5522
466	4831	5514
467	4842	5505
468	4852	5493
469	4863	5483
470	4873	5474
471	4884	5463
472	4894	5453
473	4907	5445
474	4919	5437
475	4932	5429
476	4943	5420
477	4956	5412
478	4974	5410
479	4990	5406
480	5007	5402
481	5022	5397
482	5035	5389
483	5045	5379
484	5057	5369
485	5067	5359
486	5076	5347
487	5086	5336
488	5097	5326
489	5106	5314
490	5116	5304
491	5125	5292
492	5135	5281
493	5145	5270
494	5156	5260
495	5166	5250
496	5176	5239
497	5186	5228
498	5195	5216
499	5205	5205
500	5217	5196
501	5229	5187
502	5238	5175
503	5247	5164
504	5259	5155
505	5269	5144
506	5281	5135
507	5291	5124
508	5302	5114
509	5312	5103
510	5322	5093
511	5331	5081
512	5342	5071
513	5356	5064
514	5369	5056
515	5378	5044
516	5386	5032
517	5397	5021
518	5409	5013
519	5420	5003
520	5432	4994
521	5443	4984
522	5454	4974
523	5464	4964
524	5476	4954
525	5484	4942
526	5494	4931
527	5505	4921
528	5514	4910
529	5524	4898
530	5532	4886
531	5539	4872
532	5547	4860
533	5559	4851
534	5572	4843
535	5582	4832
536	5593	4823
537	5604	4812
538	5613	4801
539	5623	4789
540	5632	4779
541	5642	4768
542	5652	4756
543	5662	4746
544	5672	4736
545	5682	4725
546	5691	4713
547	5700	4702
548	5709	4690
549	5718	4678
550	5726	4666
551	5735	4654
552	5746	4644
553	5759	4636
554	5773	4629
555	5784	4619
556	5797	4610
557	5812	4604
558	5824	4594
559	5836	4585
560	5849	4577
561	5860	4567
562	5872	4557
563	5882	4547
564	5892	4536
565	5902	4525
566	5912	4514
567	5922	4504
568	5933	4494
569	5944	4484
570	5956	4475
571	5969	4466
572	5977	4454
573	5986	4442
574	5996	4431
575	6006	4421
576	6016	4410
577	6026	4400
578	6036	4388
579	6046	4378
580	6055	4366
581	6064	4355
582	6074	4344
583	6085	4335
584	6095	4323
585	6105	4313
586	6116	4303
587	6126	4292
588	6137	4282
589	6152	4275
590	6161	4264
591	6169	4252
592	6180	4241
593	6190	4230
594	6200	4220
595	6209	4209
596	6217	4197
597	6226	4185
598	6233	4173
599	6242	4161
600	6251	4150
601	6259	4138
602	6267	4126
603	6276	4114
604	6286	4104
605	6294	4092
606	6303	4081
607	6311	4068
608	6319	4057
609	6327	4045
610	6336	4034
611	6344	4022
612	6352	4010
613	6360	3998
614	6369	3987
615	6377	3975
616	6384	3963
617	6393	3951
618	6401	3940
619	6409	3928
620	6416	3916
621	6427	3905
622	6437	3895
623	6445	3883
624	6453	3872
625	6461	3860
626	6469	3848
627	6478	3837
628	6485	3825
629	6493	3813
630	6501	3801
631	6509	3790
632	6516	3778
633	6524	3766
634	6532	3754
635	6541	3743
636	6550	3732
637	6558	3721
638	6567	3710
639	6575	3698
640	6584	3687
